sourcetype	count	a2a	doctype	superdoctype	srctype	supersrctype
BS Overlijden	75757091	*	overlijdensakte	burgerlijke standsakte	overlijdensregister	burgerlijke stand
Bevolkingsregister	43742774	*	bevolkingsregistratie		bevolkingsregister	bevolkingsadministratie
BS Huwelijk	41955882	*	huwelijksakte	burgerlijke standsakte	huwelijksregister	burgerlijke stand
BS Geboorte	39632798	*	geboorteakte	burgerlijke standsakte	geboorteregister	burgerlijke stand
DTB Dopen	36987432	*	doopregistratie	DTB-registratie		DTB
Notariële archieven	15056600	*		notariele akte		Notarieel Archief
DTB Trouwen	6617052	*	trouw registratie	DTB-registratie		DTB
DTB Begraven	6447572	*	begrafenisregistratie	DTB-registratie		DTB
Passagiersregisters	2775380		passagiersregistratie		Passagiersregister	
Militieregisters	2407145		militieregistratie		Militieregister	
Bidprentjesverzameling	2265474		bidprentje			
Ondertrouwregister	1024558		ondertrouwregistratie	DTB-registratie		
Overgenomen delen	962814		bevolkingsregistratie			
Memories van Successie	945933	*	memorie van successie	belastingregistratie		
Lidmatenregister	846403		lidmaatregistratie	DTB-registratie		
Personeelsadministratie	844974	(in A2A: VOC Opvarenden)	personeelsregistratie			
Gezinskaarten	774824		gezinskaart			bevolkingsadministratie
Politierapporten	540879		politierapport			
Patiëntenregister	524969		patientregistratie			
Politieregister	497857					
Verzoekschrift	470527					
Stamboek	467800		stamboekinschrijving			
DTB Lidmaten	463454		lidmaatregistratie	DTB-registratie		
Vreemdelingenregister	440261					
Gevangenisregisters	421770					
Vestbrieven	362610					
Kwijtscheldingen	358747					
Registraties vóór 1811	351949					
Schepenakten	346301					
Vredegerecht	317873					
Dodenboek	316488					
Correspondentie	306786					
Rechterlijk register	300300					
Kadaster	295205	*				
Slavenregister	287698					
Registratie onderscheidingen	270972					
Klapper op veroordeelden	269039					
Beheersdossier	252213					
Volkstelling	246649					
Arrondissementsrechtbank	239176					
Persoonsdossiers	238770					
Overlijdensberichten	232415					
Schepenprotocollen	224438					
Inschrijving gevangene	214186					
Bijzondere registers	212177					
Belastingregister	208968					
Vreemdelingendossiers	201576					
Bonboek	196420					
Inwonerslijsten	178822					
Personeelsregister	172677		personeelsregistratie			
Nedergerechten	147131					
Inschrijvingsregister	142881					
Inschrijfregister	140790					
Tewerkgesteldenregistratie	130366					
Rechtelijke archieven	129385					
Belastingen	122797					
Pensioenregister	121924					
Weeskamerregister	117138					
Adresboek	114246					
Stamboeken	106388					
Rolboeken arr. rechtbanken	99644					
Gereconstrueerde persoonskaarten	95847					
Bedelingsregister	90195					
Poorterboeken	87063					
Paspoortaanvragen	84585					
Nederlandse Staatscourant	84229					
Confessieboeken	82132					
Huwelijksafkondiging	81171					
Gezinsbladen	65819					
Vluchtelingen	63488					
Doop-\, Trouw- en Begraafregisters (DTB)	63486					
Persoonskaarten	62981					
Bemanning schip	62084					
Transportbelasting	60896					
Trouwgeld	60190					
Koopakten	56845					
Emigratieregisters	53928					
Vonnissen	53397					
Personeelsdossier	52876					
Quaclappen	49633					
Begraafplaatsregisters	49082					
Stemkohieren	47485					
Inschrijvingsregister Vierdaagse	46163					
Commissieboeken	45065					
Boedelbeschrijving	42491					
Marktkaarten	42404					
Impost op begraven	42002					
Instellingsregisters	40732					
Huiszittenhuizen	40590					
Overledenen Gast-, Pest-, Werk- en Spinhuis	40109					
Criminele vonnissen	40070					
Patentregisters	39411					
Quotisatie kohieren	37221					
Overlijdensoorzaken	36611					
Registers van zitplaatsen in de kerk	34234					
Burgerboeken	33526					
Ledenkaarten	32569					
Interneringskaarten	32039					
Register van kiesgerechtigde	30153					
Waterloo gratificaties 1815	29910					
Stamkaarten	29222					
Toeristenregister	29057					
Boetes	28307					
Kamer van koophandel	27996					
Naamsaanneming	27652					
Hypotheekboeken	26046					
Transportakten	24295					
Borgbrieven	24221					
Impost op trouwen	23247					
Rechterlijke archieven	22688					
Leerlingregister	22549					
Inscripties en grafschriften	20859					
Leenregister	20852					
Boedelpapieren	20572					
Erelijst	20500					
Persoon in schutterij	20230					
Persoon in Provinciaal Archief	20132					
Landverhuizers	19061					
Begraafboek	18582					
Overlijdensinschrijving	17974					
Rekesten	17701					
Koninklijk Besluit	16251					
Ontvanger Generaal	15600					
Verkaufsbücher	15244					
Militair	15126					
Registres Civiques	14533					
Civiele procesdossiers	13638					
Testament	12760					
	12389					
Speciekohieren	12227					
BS Ingekomen stuk	12100					
Verponding	11069					
Averijgrossen	10986					
ILVB-register	10746					
Akte	10694					
Overlijden	10405					
Ambtboek	10403					
Weeskamerarchief	9804					
Rechtbank van Eerste Aanleg	9612					
Veroordeelden	9555					
Haardstedengeld	9015					
Familiezakenregister	8816					
Comportementboeken	8665					
Begraven	8115					
Heffing collaterale successie	8049					
Studentenregister	7774					
Wijkregister	7329					
Vondelingenregister	7234					
WIC stukken	7234					
Waarboek	7191					
Faillissementsdossier	7012					
Register van eigendom	6704					
Gerechtshof	6603					
Dienstboderegisters	6566					
Landstormregister	6485					
Overlijdensverklaring	5923					
Signalementskaarten	5638					
Signalementenregister	5614					
Machtiging	5538					
Vluchtoordkaarten	5498					
Resoluties	5188					
Genealogie	4933					
Allerhande acten	4738					
Geboorteinschrijving	4665					
Kantongerecht	4555					
Garnizoenregister	4422					
Rouwkaarten	4359					
Processen verbaal	4349					
Registers van borgstelling	4337					
Stemgerechtigden	4169					
Wees- en armboeken register	4045					
Wezenregister	3998					
Onderduikersregisters	3727					
Bouwdossiers	3653					
Benoemingen	3562					
Taxatie	3436					
Uitspraken Hoge Raad	2885					
Register van kiesgerechtigden	2853					
Registratie	2853					
Pasfoto's	2837					
Indemniteitsregister	2778					
Schuldbekentenis	2655					
Huis van Bewaring	2646					
Salarisregister	2633					
Informatieboeken	2571					
Pottenbakkers	2422					
Hinderwetvergunningen	2385					
Krijgsraad	2305					
Migrantenregister	2297					
Register van verstrekte paspoorten	2248					
BS Echtscheiding	2180					
Morgengaveboek	2170					
Hof van Assisen	1914					
Stukken Raad van Brabant	1910					
Sententies	1707					
Huisregister	1702					
Geheim register	1676					
Verklaring	1664					
Werknemer	1606					
Criminele sententies	1531					
Memorieboek	1518					
Rechtszitting	1429					
Grootschippersgilde	1394					
Overlijdensaangifte	1378					
Register Waterloo gratificaties	1321					
Uitleveringsverzoek	1317					
Civiele vonnissen	1257					
Criminele procesdossiers	1159					
Manspersonen	1147					
Register van inwonende dienstbodes en knechten	1134					
Betalingsregister	1088					
Boedelscheiding	1070					
Procesdossier	1058					
Akte van indemniteit	962					
Database Vliegend Personeel	901					
BS Begraven	782					
Huwelijksvoorwaarden	680					
Kwitantie	555					
Verkoop	548					
Staat gebouwde eigendommen	524					
Voogdbenoeming	512					
ID document	505					
Inschrijving in de militaire zaken registratie	489					
DTB Suriname	476					
Staten en inventarissen	439					
Overeenkomst	431					
Luchtvaartafdeling	415					
Beoordelingsstaten	414					
Gedetineerden registratie	314					
Wapenvergunningen	309					
Tractementslijst	301					
Rekening	293					
Graf	261					
Huwelijk	248					
Octrooiverlening	240					
Borgstelling	234					
Verzoekschriften	230					
Aanzegging	208					
Boedel	204					
Uitkoop	200					
Woningkaarten	179					
Verhuur	148					
Akte van lijkvinding	129					
Compromis	127					
BS Erkenning	112					
Schouw	90					
Protest	85					
Echtscheiding	83					
Uittreksel	74					
Beslaglegging	65					
Hypotheek	57					
Bekendmaking	45					
Toestemming	45					
Akte van verbetering	42					
Eedsaflegging	42					
Afstand	41					
Huwelijkstoestemming	41					
Ruil	41					
Aantekening	40					
Erfpacht	40					
Bijenstand	36					
Register van weesakten	30					
Betaling	28					
Boedelrekening	28					
Inbewaringgeving	27					
Gildenboek	26					
Goedkeuring	26					
Molenbrief	26					
Erfdienstbaarheid	20					
Herroeping	20					
Aanschrijving	16					
Schenking	15					
Inventaris	14					
Vergunning	14					
Verslag	14					
Woonwagenkamp	14					
Molenaar	13					
BS Naamswijziging	12					
Eigendomsbewijs	12					
Schaderegeling	12					
Aanbreng	11					
Decharge	10					
Legerplaats	10					
Erfscheiding	9					
Onderzoek	9					
Belofte	7					
Commissie	7					
Aangifte	6					
Afschrift	6					
Arrestatie	6					
Lijfrente	6					
Ingebruikgeving	5					
Royement	5					
Aanneming	4					
Admissie	4					
Bekeuring	4					
Domiciliekeuze	4					
Ondertrouw	4					
Ontzegeling	4					
Akte van beschikking	3					
Trouwbelofte	2					
Aanbevelingsbrief	1					
Arrestantenkaart	1					
Bericht	1					
Dienstplichtregister	1					
Kostgangerskaarten	1					
Oud Rechterlijke register	1					
Stads- en dorpsarchieven	1					
